Season,Match,Team,Opponent,Team Rating,Rating Change,Goals,Goals Allowed,Shots,Assists,Saves,xG,Covr Rate,Save Percent,Yellow Cards,Red Cards,Time
2,87,E44,TFF,24.52,-5.84,0,9,1,0,11,1.86,0.0,0.55,0,0,Final
2,87,TFF,E44,61.19,19.63,9,0,20,4,1,5.77,0.45,1.0,0,0,Final
2,88,HPA,MCH,20.35,0.0,0,5,0,0,0,0.94,0.0,0.0,0,0,Forfeit
2,88,MCH,HPA,97.17,0.0,5,0,0,0,0,8.85,0.0,0.0,0,0,Forfeit
2,89,BNC,ASB,48.59,4.58,4,5,10,1,7,2.48,0.4,0.58,0,0,Playoff/FT
2,89,ASB,BNC,80.37,-9.04,5,4,12,4,6,4.45,0.42,0.6,0,0,Playoff/FT
2,90,NPC,HBD,78.26,2.24,2,0,17,2,14,4.41,0.12,1.0,0,0,Playoff/FT
2,90,HBD,NPC,43.47,0.49,0,2,14,0,15,2.25,0.0,0.88,0,0,Playoff/FT
2,91,BBL,ASB,81.22,10.05,5,3,5,5,9,4.46,1.0,0.75,0,0,Playoff/FT
2,91,ASB,BBL,74.71,-5.6,3,5,12,1,0,3.98,0.25,0.0,0,0,Playoff/FT
2,92,NPC,MCH,82.19,2.17,0,1,10,0,8,1.93,0.0,0.89,0,0,Playoff/FT
2,92,MCH,NPC,97.19,1.93,1,0,9,1,10,2.85,0.11,1.0,0,0,Playoff/FT
2,93,BBL,MCH,81.97,2.14,2,3,11,1,7,2.39,0.18,0.7,1,0,Playoff/FT
2,93,MCH,BBL,97.36,0.17,3,2,10,3,9,3.57,0.3,0.82,1,0,Playoff/FT
3,94,HBD,BNC,39.2,-2.66,2,5,9,2,10,2.69,0.22,0.67,0,0,Final
3,94,BNC,HBD,53.96,6.04,5,2,15,3,7,3.84,0.33,0.78,1,0,Final
3,95,VSH,HFC,100.0,0.0,11,0,26,9,6,10.7,0.42,1.0,1,0,Final
3,95,HFC,VSH,12.5,0.0,0,11,6,0,15,0.04,0.0,0.58,0,0,Final
3,96,NFA,FTS,22.51,0.0,1,6,13,1,19,0.97,0.08,0.76,0,0,Final
3,96,FTS,NFA,89.28,0.0,6,1,25,2,12,5.84,0.24,0.92,0,0,Final
3,97,NPC,TOE,94.51,-1.24,6,1,27,4,6,9.63,0.22,0.86,1,0,Final
3,97,TOE,NPC,19.04,0.95,1,6,7,0,21,0.97,0.14,0.78,0,0,Final
3,98,ASB,HFC,44.2,-46.65,4,1,18,3,2,3.91,0.22,0.67,0,0,Final
3,98,HFC,ASB,18.34,5.84,1,4,3,0,14,0.98,0.33,0.78,0,0,Final
3,99,BNC,MCH,35.16,1.66,5,5,8,3,9,2.1,0.62,0.64,1,1,Final
3,99,MCH,BNC,61.64,-7.98,5,5,14,4,3,3.95,0.36,0.38,0,0,Final
